customer_id,first_name,last_name,age,gender,country,city,registration_date,acquisition_channel,customer_segment,preferred_language
CUST006076,Miguel,Williams,45.0,Female,IN,Hyderabad,2023-02-11,Email Campaign,Individual,English
CUST004782,Saanvi,Silva,32.0,Female,France,Marseille,2023-11-19,Organic Search,Family,Portuguese
CUST000240,Nia,Gupta,32.0,Male,United Kingdom,Glasgow,2023-05-07,Email Campaign,Family,English
CUST007927,Arjun,Chikoti,42.0,Other,australia,Melbourne,2021-05-17,Direct,Family,Korean
CUST005782,Hina,Baig,35.0,Male,India,Pune,2026-04-08,Organic Search,Corporate Bundle,Spanish
CUST007375,Yong,Santos,64.0,Female,United States,New York,2024-09-11,Organic Search,Individual,French
CUST003361,Miguel,Jung,32.0,Male,United States,Chicago,2021-04-12,Organic Search,Family,Portuguese
CUST007157,Fatima,Verma,49.0,Male,mexico,Monterrey,2024-05-23,Paid Social,Individual,English
CUST006233,Vihaan,Verma,34.0,Female,spain,Madrid,2025-01-02,Organic Search,Family,Portuguese
CUST003878,William,Ali,55.0,Male,Australia,Melbourne,2024-11-17,Organic Search,Student,English
CUST007440,Olivia,Silva,29.0,Female,United Kingdom,Leeds,2021-03-01,Organic Search,Student,English
CUST003205,Nia,Petit,31.0,Male,Germany,Hamburg,2026-04-13,App Store,Family,English
CUST004158,Sara,Oliveira,22.0,Male,United Kingdom,Birmingham,2022-01-05,Referral,Individual,English
CUST002846,Elijah,Mwangi,50.0,Male,FRANCE,Marseille,2025-01-16,Referral,Individual,English
CUST000430,Anika,Laurent,32.0,Female,united states,Miami,2022-12-07,Partner Bundle (Telecom),Individual,Hindi
CUST004291,Omar,Rahman,30.0,Female,SOUTH AFRICA,Johannesburg,2020-03-13,Partner Bundle (Telecom),Individual,English
CUST001019,Oscar,Sharma,21.0,Male,India,Bengaluru,2019-01-28,Organic Search,Family,Portuguese
CUST001128,Isabella,Diallo,47.0,Female,United States,New York,2019-05-23,Organic Search,Individual,French
CUST000683,Elena,Oliveira,43.0,Male,Indonesia,Bandung,2024-09-03,Referral,Individual,German
CUST006331,Ming,Santos,37.0,Male,United States,Houston,2019-10-28,Email Campaign,Student,English
CUST002127,Freddie,Mwangi,48.0,Male,India,Pune,2025-10-03,Paid Social,Family,English
CUST006817,Alejandro,Fischer,22.0,Male,Spain,Barcelona,2023-02-16,Organic Search,Student,English
CUST005892,Liam,Martinez,32.0,Male,United Kingdom,London,2024-12-10,Referral,Individual,English
CUST001173,Aditya,Yang,28.0,Male,Canada,Montreal,2025-07-05,Email Campaign,Family,English
CUST004621,Fernando,Davis,17.0,Female,Brazil,Sao Paulo,2025-09-07,Organic Search,Student,German
CUST004922,Riku,Robert,19.0,Female,United States,Houston,2024-12-26,Affiliate Partner,Individual,English
CUST005672,Pedro,Richard,34.0,Female,United States,Chicago,2021-02-13,Email Campaign,Individual,English
CUST003985,Jessica,Chikoti,32.0,Male,Australia,Melbourne,2025-12-07,Paid Social,Individual,English
CUST007088,Charlotte,Schmidt,41.0,Male,South Africa,Johannesburg,2022-09-23,App Store,Individual,Indonesian
CUST005389,Linda,Nair,13.0,Male,South Korea,Seoul,2021-07-10,Organic Search,Corporate Bundle,Spanish
CUST004820,Ishaan,Costa,38.0,Female,Australia,Brisbane,2020-06-27,Organic Search,Student,English
CUST002922,Vihaan,Choi,32.0,Female,Brazil,Brasilia,2019-09-19,Partner Bundle (Telecom),Family,English
CUST006422,Jessica,Rodrigues,26.0,Male,India,Pune,2019-05-17,Referral,Family,Spanish
CUST000316,Anika,Kim,16.0,Female,Canada,Montreal,2019-12-23,Paid Social,Corporate Bundle,Arabic
CUST007474,Rania,Garcia,27.0,Male,Italy,Naples,2019-06-09,Organic Search,Individual,Indonesian
CUST004881,Robert,Rahman,26.0,Female,Nigeria,Kano,2022-12-26,Paid Social,Family,English
CUST001204,Alfie,Reddy,45.0,Male,United States,New York,2022-11-30,Affiliate Partner,Family,Korean
CUST000102,Michael,Schneider,22.0,Female,Mexico,Guadalajara,2022-12-30,Direct,Individual,Hindi
CUST006110,Daniel,Singh,35.0,Female,United States,Miami,2024-08-31,Referral,Individual,Portuguese
CUST000488,Reyansh,Wagner,42.0,Male,Spain,Barcelona,2026-05-11,Affiliate Partner,Family,Hindi
CUST005365,William,Johnson,26.0,Male,Brazil,Sao Paulo,2022-03-21,Paid Social,Individual,Hindi
CUST005590,Feng,Takahashi,32.0,Female,United States,Frankfurt,2022-11-18,Paid Social,Student,English
CUST000320,Saanvi,Smith,44.0,Female,United States,Phoenix,2023-11-21,Direct,Family,English
CUST006870,Sofia,Lee,27.0,Male,Mexico,Monterrey,2022-01-15,Organic Search,Student,English
CUST002543,Ibrahim,Moreau,26.0,Female,Canada,Toronto,2022-09-27,Referral,Individual,Hindi
CUST003613,Huda,Rodrigues,32.0,Male,France,Toulouse,2020-11-26,Partner Bundle (Telecom),Family,Japanese
CUST006366,Fatima,Kobayashi,44.0,Female,Spain,Madrid,2020-08-28,Email Campaign,Individual,English
CUST005575,Saanvi,Okonkwo,51.0,Male,Japan,Austin,2022-02-12,App Store,Individual,Japanese
CUST002305,Juan,Robert,31.0,Female,United States,Phoenix,2025-09-30,Partner Bundle (Telecom),Individual,English
CUST003072,Vivaan,Jones,47.0,Male,South Korea,Incheon,2025-10-30,Direct,Family,Spanish
CUST007545,Zara,Kim,43.0,Female,United Kingdom,Birmingham,2024-06-02,Paid Social,Corporate Bundle,Spanish
CUST004354,Elijah,Diallo,32.0,Female,United States,Phoenix,2019-01-19,Email Campaign,Individual,Hindi
CUST004576,Fatima,Wu,34.0,Male,United Kingdom,Glasgow,2020-07-08,Paid Social,Family,Hindi
CUST006691,John,Smith,34.0,Female,United States,Houston,2019-07-01,Organic Search,Individual,Arabic
CUST004582,Chidi,Adeyemi,34.0,Female,United Kingdom,Austin,2021-07-07,Paid Social,Corporate Bundle,English
CUST004690,Elena,Patel,52.0,Female,India,Mumbai,2024-08-16,App Store,Individual,German
CUST001791,Noor,Khan,52.0,Female,Germany,Frankfurt,2021-11-30,Organic Search,Individual,German
CUST000555,Amina,Wu,26.0,Male,Brazil,Salvador,2022-11-13,Paid Social,Individual,Korean
CUST005308,Rania,Nair,29.0,Male,United Kingdom,Birmingham,2026-03-25,App Store,Individual,German
CUST006347,Pedro,Silva,34.0,Prefer not to say,Philippines,Davao City,2022-12-24,Direct,Individual,Arabic
CUST006632,Hassan,Kobayashi,30.0,Female,Canada,Vancouver,2023-03-09,Affiliate Partner,Individual,English
CUST001386,Diego,Yoon,36.0,Female,Canada,Austin,2020-08-13,Referral,Individual,Korean
CUST002292,Saanvi,Malik,26.0,Male,Mexico,Guadalajara,2022-02-25,Referral,Individual,English
CUST001916,Matthew,Nakamura,35.0,Female,united kingdom,Birmingham,2024-09-21,Partner Bundle (Telecom),Student,Spanish
CUST006099,Sakura,Wang,13.0,Male,Mexico,Monterrey,2021-05-02,Referral,Student,Japanese
CUST001906,Ananya,Kim,47.0,Male,Brazil,Rio de Janeiro,2024-03-05,Organic Search,Individual,Japanese
CUST003858,Rania,Khan,29.0,Male,JAPAN,Yokohama,2019-08-07,Organic Search,Individual,Korean
CUST001657,Karen,Choi,28.0,Female,India,Chennai,2022-02-17,Referral,Individual,English
CUST004076,Huda,Li,30.0,Female,Nigeria,Lagos,2026-05-09,Direct,Student,Japanese
CUST007407,Gabriela,Huang,33.0,Female,United States,Austin,2022-04-25,Email Campaign,Student,Spanish
CUST004386,Sofia,Zhang,27.0,Male,Nigeria,Kano,2025-06-09,Organic Search,Family,Hindi
CUST002524,Aarav,Oliveira,45.0,Female,India,Hyderabad,2023-08-15,Organic Search,Individual,Spanish
CUST004880,Emma,Yoon,26.0,Female,Canada,Toronto,2026-02-23,Referral,Individual,Tagalog
CUST005710,Aditya,Otieno,25.0,Female,Poland,Krakow,2021-09-29,Organic Search,Student,English
CUST007463,Qiang,Souza,24.0,Female,BRAZIL,Sao Paulo,2025-10-24,App Store,Family,Hindi
CUST004086,Chidi,Huang,46.0,Male,KR,Incheon,2024-04-24,Referral,Student,English
CUST005336,Oscar,Almeida,28.0,Female,United States,Los Angeles,2022-10-22,Organic Search,Individual,Japanese
CUST005463,Olivia,Verma,33.0,Female,India,Pune,2020-11-09,Organic Search,Individual,Indonesian
CUST007683,Ricardo,Nakamura,32.0,Male,India,Delhi,2022-12-13,Organic Search,Family,Korean
CUST001884,Ren,Martinez,32.0,Prefer not to say,NG,Ibadan,2019-08-24,Organic Search,Individual,English
CUST005860,Diego,Rahman,16.0,Male,India,Mumbai,2023-04-30,App Store,Individual,Korean
CUST004848,Harry,Silva,13.0,Female,United States,Chicago,2026-03-18,Paid Social,Family,Hindi
CUST006908,James,Mwangi,40.0,Male,France,Toulouse,2019-03-18,App Store,Individual,Hindi
CUST002816,Jose,Kumar,37.0,Female,France,Paris,2023-08-26,Referral,Corporate Bundle,English
CUST004520,Jian,Wu,37.0,Female,France,Marseille,2023-06-21,Partner Bundle (Telecom),Individual,Hindi
CUST001288,Fernando,Robert,24.0,Female,U.K.,Liverpool,2020-05-27,Affiliate Partner,Individual,Hindi
CUST003086,Zola,Cho,18.0,Male,Argentina,Cordoba,2019-02-16,Partner Bundle (Telecom),Individual,Arabic
CUST001406,Amelia,Cho,37.0,Prefer not to say,France,Nice,2022-09-09,Partner Bundle (Telecom),Student,Tagalog
CUST005995,Kofi,Kumar,21.0,Female,United States,Puebla,2024-01-29,Direct,Individual,Indonesian
CUST003481,Amara,Williams,47.0,Female,Canada,Montreal,2023-08-12,App Store,Individual,Korean
CUST002185,Navya,Costa,36.0,Male,USA,Houston,2020-04-25,Organic Search,Family,English
CUST007996,Leo,Hussain,41.0,Male,South Africa,Cape Town,2019-04-05,Organic Search,Student,French
CUST001329,Chidi,Huang,31.0,Female,United States,Miami,2026-05-14,Organic Search,Student,Spanish
CUST004011,Alejandro,Kobayashi,19.0,Female,Indonesia,Austin,2019-10-22,Paid Social,Corporate Bundle,Arabic
CUST007158,Lucas,Chen,13.0,Male,France,Toulouse,2021-11-09,Affiliate Partner,Individual,English
CUST001702,Mohammed,Hoffmann,30.0,Male,india,Ahmedabad,2019-03-23,Referral,Individual,Hindi
CUST007748,Alfie,Laurent,28.0,Male,France,Marseille,2023-03-04,Email Campaign,Individual,Hindi
CUST000971,John,Martinez,46.0,Female,ZA,Johannesburg,2025-06-30,Organic Search,Family,Japanese
CUST003056,Aditya,Santos,32.0,Male,India,Ahmedabad,2024-11-01,Paid Social,Individual,French
CUST002349,Salma,Hussain,26.0,Male,Italy,Rome,2020-10-17,Organic Search,Student,Spanish
CUST000539,Naledi,Sato,35.0,Male,India,Austin,2020-04-25,Organic Search,Individual,English
CUST003886,Diya,Banda,28.0,Female,Poland,Wroclaw,2024-01-23,Organic Search,Individual,Hindi
CUST007040,Yuto,Miller,29.0,Female,Brazil,Salvador,2024-05-25,Paid Social,Individual,Korean
CUST003275,Oliver,Lee,13.0,Male,United States,Pretoria,2024-05-29,Email Campaign,Family,English
CUST000764,Andrew,Okonkwo,22.0,Female,United States,Austin,2021-02-22,Organic Search,Family,English
CUST005928,Omar,Martinez,49.0,Male,United States,Seattle,2023-10-26,Referral,Individual,English
CUST007955,Sai,Sheikh,20.0,Female,Spain,Valencia,2019-10-09,Affiliate Partner,Student,English
CUST006097,Freddie,Diallo,27.0,Male,Brazil,Sao Paulo,2025-08-03,Referral,Corporate Bundle,Spanish
CUST005334,Aditya,Muller,42.0,Female,Canada,Toronto,2021-11-27,App Store,Individual,English
CUST000958,Wei,Chikoti,32.0,Female,Bharat,Austin,2024-07-01,Referral,Individual,Japanese
CUST005217,Liam,Ferreira,37.0,Male,United Kingdom,Manchester,2021-08-20,Organic Search,Individual,Hindi
CUST005506,Chidi,Ito,42.0,Other,Australia,Melbourne,2022-06-09,Direct,Individual,English
CUST001057,Sarah,Sharma,43.0,Male,philippines,Cebu City,2019-01-19,App Store,Student,Hindi
CUST000234,Mia,Wu,14.0,Male,Germany,Cologne,2022-08-06,Email Campaign,Individual,Arabic
CUST007565,Freddie,Gupta,23.0,Female,United Kingdom,Manchester,2023-01-26,App Store,Individual,Indonesian
CUST002099,Charlotte,Davis,46.0,Female,United States,Houston,2023-05-21,Referral,Individual,Japanese
CUST004914,Zara,Patel,42.0,Male,FR,Marseille,2022-12-08,Email Campaign,Individual,Tagalog
CUST001058,Isabella,Gupta,24.0,Male,United Kingdom,Leeds,2024-09-29,Paid Social,Family,English
CUST006174,Henry,Nair,34.0,Male,United States,Los Angeles,2022-06-04,Affiliate Partner,Corporate Bundle,Korean
CUST006445,Sara,Oliveira,13.0,Male,US,Houston,2024-05-15,Organic Search,Family,English
CUST001045,Paula,Ferreira,26.0,Male,United Kingdom,Leeds,2025-04-04,Organic Search,Family,English
CUST005390,Karen,Miller,29.0,Female,United States,Austin,2020-08-15,Partner Bundle (Telecom),Individual,English
CUST005018,Mariana,Abara,39.0,Female,United States,Houston,2020-08-28,Partner Bundle (Telecom),Family,Japanese
CUST004609,Navya,Laurent,21.0,Female,United States,Rio de Janeiro,2024-07-06,Organic Search,Individual,Korean
CUST006642,Jian,Kumar,37.0,Male,India,Bengaluru,2020-05-19,Direct,Individual,English
CUST005850,Elijah,Zhang,25.0,Male,Canada,Montreal,2023-09-19,Organic Search,Individual,Indonesian
CUST001124,Daniela,Yang,25.0,Male,United States,Austin,2026-02-14,Organic Search,Individual,English
CUST001812,Lucas,Zhou,52.0,Female,Brazil,Salvador,2021-05-30,Paid Social,Individual,German
CUST007182,Navya,Pereira,24.0,Other,Japan,Nagoya,2022-07-19,Referral,Family,English
CUST007635,Amelia,Garcia,16.0,Female,France,Paris,2020-12-25,Partner Bundle (Telecom),Individual,English
CUST000867,Krishna,Kim,32.0,Male,United Kingdom,Liverpool,2021-02-04,App Store,Corporate Bundle,Portuguese
CUST006863,Kofi,Jang,44.0,Male,United States,Houston,2021-09-25,Partner Bundle (Telecom),Corporate Bundle,English
CUST006392,Henry,Diallo,71.0,Female,United States,Los Angeles,2020-05-14,Organic Search,Family,Japanese
CUST007548,Riku,Weber,25.0,Female,Canada,Austin,2021-04-09,Affiliate Partner,Family,French
CUST005420,Harry,Nair,20.0,Male,CANADA,Ottawa,2021-08-16,Organic Search,Family,Hindi
CUST006523,Ricardo,Hussain,26.0,Female,United Kingdom,Liverpool,2022-01-03,Organic Search,Family,Portuguese
CUST001047,Lucas,Muller,22.0,Female,United States,Bandung,2025-02-15,Partner Bundle (Telecom),Family,English
CUST006012,Kiara,Kang,42.0,Female,CANADA,Calgary,2022-02-26,App Store,Family,Hindi
CUST003102,Daniela,Ferreira,25.0,Male,Brazil,Sao Paulo,2025-11-19,Organic Search,Individual,English
CUST000909,Wei,Durand,29.0,Male,Canada,Ottawa,2025-04-01,Affiliate Partner,Individual,Spanish
CUST002095,Salma,Fischer,42.0,Male,Brazil,Sao Paulo,2021-05-01,Paid Social,Individual,Indonesian
CUST003283,Isabella,Ito,21.0,Male,Nigeria,Abuja,2020-08-06,Affiliate Partner,Individual,English
CUST006435,Gabriela,Johnson,42.0,Female,United Kingdom,Liverpool,2025-11-10,Organic Search,Individual,English
CUST000749,Sami,Ito,35.0,Male,United States,Miami,2020-10-08,Paid Social,Individual,French
CUST003769,Fatima,Santos,20.0,Female,United Kingdom,Liverpool,2019-05-30,Organic Search,Student,Hindi
CUST000335,Patricia,Okonkwo,32.0,Male,Japan,Nagoya,2021-10-02,Paid Social,Corporate Bundle,English
CUST006556,Ibrahim,Sharma,14.0,Female,United States,Phoenix,2022-01-23,App Store,Family,French
CUST000024,Barbara,Patel,39.0,Male,India,Chennai,2026-01-25,Direct,Family,English
CUST002437,David,Lee,26.0,Female,US,Seattle,2022-12-04,Direct,Student,French
CUST003622,Camila,Kim,31.0,Male,India,Mumbai,2024-06-07,Affiliate Partner,Family,English
CUST003617,Lucia,Chikoti,30.0,Male,United Kingdom,Glasgow,2026-02-21,Paid Social,Family,Japanese
CUST004889,Ali,Garcia,18.0,Female,Germany,Cologne,2023-12-10,Affiliate Partner,Student,Spanish
CUST004329,Omar,Martinez,43.0,Female,Mexico,Guadalajara,2024-10-05,Organic Search,Individual,Hindi
CUST004551,Themba,Banda,41.0,Female,Mexico,Puebla,2020-02-03,App Store,Family,Arabic
CUST003967,Sami,Brown,42.0,Male,Australia,Perth,2024-03-17,Referral,Individual,Hindi
CUST004705,Myra,Petit,59.0,Female,United States,Miami,2021-03-18,Referral,Individual,Arabic
CUST003396,Kofi,Ferreira,44.0,Female,Spain,Valencia,2026-02-12,Paid Social,Individual,English
CUST006784,Liam,Koch,32.0,Male,United States,Austin,2019-09-21,Organic Search,Individual,Portuguese
CUST003440,Karen,Banda,24.0,Male,India,Ahmedabad,2025-07-09,Affiliate Partner,Family,English
CUST007058,Karen,Tanaka,32.0,Female,Japan,Nagoya,2025-12-11,Email Campaign,Individual,Hindi
CUST001865,Camila,Santos,26.0,Other,United States,Austin,2025-04-06,Organic Search,Student,German
CUST000066,Oscar,Saito,28.0,Female,IN,Hyderabad,2025-08-27,App Store,Individual,Hindi
CUST000713,Gabriela,Wu,25.0,Female,Canada,Calgary,2026-04-23,Organic Search,Student,Arabic
CUST006643,Ali,Meyer,33.0,Female,Brazil,Fortaleza,2019-01-07,Paid Social,Individual,Indonesian
CUST000473,Ishaan,Cho,42.0,Male,United Kingdom,Glasgow,2025-05-25,Partner Bundle (Telecom),Individual,English
CUST004167,Freddie,Patel,25.0,Female,Argentina,Rosario,2024-02-25,Email Campaign,Family,Polish
CUST001026,David,Reddy,44.0,Female,Canada,Calgary,2025-01-26,Paid Social,Student,English
CUST004242,Amara,Oliveira,38.0,Female,United Kingdom,Liverpool,2019-08-01,Affiliate Partner,Corporate Bundle,Hindi
CUST004337,Ishaan,Jones,27.0,Male,India,Bengaluru,2020-07-26,Affiliate Partner,Family,Hindi
CUST006120,Mason,Souza,30.0,Female,Japan,Osaka,2023-09-27,Referral,Individual,Spanish
CUST000812,Omar,Zhou,41.0,Male,Philippines,Davao City,2021-06-30,Paid Social,Individual,English
CUST000264,Jacob,Hoffmann,31.0,Male,India,Pune,2020-02-24,App Store,Corporate Bundle,Spanish
CUST003521,Jian,Moreau,56.0,Female,Spain,Madrid,2022-08-14,Referral,Individual,Korean
CUST002499,Matthew,Johnson,36.0,Male,South Africa,Durban,2019-02-18,Organic Search,Family,French
CUST007124,Zara,Adeyemi,24.0,Male,nigeria,Austin,2024-07-28,Affiliate Partner,Individual,Japanese
CUST005396,Sophia,Li,44.0,Male,India,Hyderabad,2019-03-23,Partner Bundle (Telecom),Individual,Japanese
CUST005153,Anika,Jung,31.0,Female,South Africa,Johannesburg,2019-07-01,Paid Social,Individual,Korean
CUST001929,Mariana,Silva,45.0,Female,IN,Mumbai,2019-04-27,Organic Search,Individual,English
CUST001375,Sai,Pereira,47.0,Male,Spain,Seville,2026-02-09,App Store,Individual,French
CUST004589,Pari,Zhang,33.0,Male,South Africa,Johannesburg,2024-03-29,Organic Search,Individual,Arabic
CUST002930,Riku,Zhou,45.0,Male,South Africa,Pretoria,2026-03-21,Referral,Family,German
CUST001650,Alejandro,Verma,14.0,Female,France,Lyon,2019-11-15,Email Campaign,Individual,Portuguese
CUST004711,Diya,Meyer,34.0,Female,United Kingdom,Liverpool,2023-11-05,Affiliate Partner,Individual,Arabic
CUST006544,Jessica,Mwangi,16.0,Female,India,Bengaluru,2024-06-15,Paid Social,Family,English
CUST005433,Joseph,Nair,34.0,Female,United Kingdom,Glasgow,2026-04-18,Organic Search,Individual,English
CUST004195,Barbara,Davis,30.0,Male,Germany,Cologne,2024-07-27,Direct,Individual,Japanese
CUST004174,George,Moreau,21.0,Female,Italy,Milan,2026-02-23,Referral,Family,English
CUST001512,Oliver,Robert,24.0,Male,Nigeria,Ibadan,2024-08-13,Referral,Individual,English
CUST001759,Krishna,Baig,13.0,Prefer not to say,India,Ahmedabad,2022-02-03,Email Campaign,Individual,German
CUST007160,Jessica,Williams,23.0,Male,Argentina,Rosario,2023-11-16,Email Campaign,Individual,Portuguese
CUST002112,Valentina,Ali,20.0,Female,U.S.A,New York,2025-07-04,Paid Social,Student,English
CUST005252,Sai,Malik,19.0,Male,Germany,Hamburg,2024-09-29,Organic Search,Family,Spanish
CUST004869,Ricardo,Liu,27.0,Female,Italy,Rome,2021-09-27,Paid Social,Individual,Hindi
CUST001738,Aarav,Alves,22.0,Female,United States,Lyon,2023-08-18,Paid Social,Individual,Portuguese
CUST000319,Lucas,Pereira,33.0,Male,India,Ahmedabad,2026-04-25,Email Campaign,Family,Japanese
CUST006283,Fernando,Miller,33.0,Male,India,Bengaluru,2025-01-29,Organic Search,Individual,Korean
CUST001104,Lucia,Rahman,24.0,Female,Australia,Perth,2021-08-07,Referral,Individual,Spanish
CUST001700,William,Cho,38.0,Female,United States,Seattle,2025-06-04,Direct,Corporate Bundle,Hindi
